pin,year,class,char_yrblt,char_bldg_sf,char_land_sf,char_beds,char_rooms,char_fbath,char_hbath,char_frpl,char_type_resd,char_cnst_qlty,char_apts,char_tp_dsgn,char_attic_fnsh,char_gar1_att,char_gar1_area,char_gar1_size,char_gar1_cnst,char_attic_type,char_bsmt,char_ext_wall,char_heat,char_repair_cnd,char_bsmt_fin,char_roof_cnst,char_use,char_age,char_site,char_ncu,char_renovation,char_porch,char_air,char_tp_plan
09254040180000,2017,203,1955,1571,3750,3,6,1,0,0,5,2,6,2,1,2,2,7,0,1,1,2,1,2,3,1,1,60,2,0,0,0,1,2
13362270230000,2016,202,1890,756,2750,2,4,1,1,0,1,2,6,0,3,2,2,3,1,1,1,3,2,3,1,1,1,125,2,0,0,1,2,2
13253230040000,2021,278,1972,2210,3150,4,9,3,0,0,2,2,6,2,3,2,2,7,0,3,1,2,1,2,1,1,1,52,2,0,0,0,1,2
09254040180000,2015,203,1955,1571,3750,3,6,1,0,0,5,2,6,2,1,2,2,7,0,1,1,2,1,2,3,1,1,60,2,0,0,0,1,2
13362270230000,2017,202,1890,756,2750,2,4,1,1,0,1,2,6,0,3,2,2,3,1,1,1,3,2,3,1,1,1,125,2,0,0,1,2,2
13253230040000,2015,203,1969,1040,3150,2,5,1,0,0,1,2,6,0,3,2,2,3,1,3,2,2,1,2,3,1,1,46,2,0,0,0,2,2
13253160160000,2019,202,1901,706,3150,2,5,1,0,0,1,2,6,2,3,2,2,3,1,1,1,2,2,2,3,1,1,117,2,0,0,0,2,2
10254170360000,2017,205,1948,1829,4340,3,7,2,1,2,2,2,6,2,3,2,2,3,1,3,1,2,1,2,1,1,1,67,2,0,0,0,1,2
10253190450000,2019,204,1951,2469,11160,3,8,2,1,1,1,2,6,0,3,1,2,3,2,3,3,2,1,2,3,1,1,67,2,0,0,0,1,2
14321260280000,2021,206,1880,3660,3125,4,11,5,0,0,3,2,6,2,3,2,2,4,2,3,3,2,1,2,1,2,1,143,2,0,1,0,2,2
09361030150000,2018,203,1928,1357,5280,2,6,1,1,0,1,2,6,2,3,2,2,1,1,3,1,2,2,2,3,1,1,90,3,0,0,0,2,2
09361030150000,2021,206,1931,2772,5280,5,9,3,1,0,2,2,6,2,3,2,2,1,1,3,1,3,2,2,3,1,1,93,3,0,0,0,1,2
17032010190000,2021,210,1887,3299,1204,8,11,3,1,2,3,2,6,2,3,2,2,7,0,3,1,2,2,2,1,6,1,134,2,0,1,0,1,2
13253160160000,2021,205,1904,1790,3150,3,7,3,0,0,2,2,6,2,3,2,2,3,1,1,1,2,2,2,1,1,1,120,2,0,1,0,1,2
10254170360000,2021,206,1959,2312,4340,4,8,3,1,2,2,2,6,2,3,2,2,3,1,3,1,2,1,2,1,1,1,73,2,0,0,0,1,2
13362270230000,2020,202,1890,756,2750,2,4,1,1,0,1,2,6,0,3,2,2,3,1,1,1,3,2,3,1,1,1,128,2,0,0,1,2,2
09361030150000,2017,203,1928,1357,5280,2,6,1,1,0,1,2,6,2,3,2,2,1,1,3,1,2,2,2,3,1,1,87,3,0,0,0,2,2
17032010190000,2017,211,1887,3299,1204,8,11,3,0,2,3,2,2,2,3,2,2,7,0,3,1,2,2,2,1,6,2,128,2,0,0,0,1,2
13253230040000,2017,203,1969,1040,3150,2,5,1,0,0,1,2,6,2,3,2,2,3,1,3,1,2,1,2,3,1,1,46,2,0,0,0,2,2
17032010190000,2019,211,1888,3299,1204,8,11,3,0,2,3,2,2,2,3,2,2,7,0,3,1,2,2,2,1,6,2,131,2,0,0,0,1,2
09361030150000,2019,203,1928,1357,5280,2,6,1,1,0,1,2,6,2,3,2,2,1,1,3,1,2,2,2,3,1,1,90,3,0,0,0,2,2
09363230550000,2015,203,1923,1200,4375,3,5,1,1,0,1,2,6,2,3,2,2,7,0,3,1,3,2,2,3,1,1,92,2,0,0,1,2,2
09254040180000,2016,203,1955,1571,3750,3,6,1,0,0,5,2,6,2,1,2,2,7,0,1,1,2,1,2,3,1,1,60,2,0,0,0,1,2
13362270230000,2019,202,1890,756,2750,2,4,1,1,0,1,2,6,0,3,2,2,3,1,1,1,3,2,3,1,1,1,128,2,0,0,1,2,2
13253160160000,2018,202,1901,706,3150,2,5,1,0,0,1,2,6,2,3,2,2,3,1,1,1,2,2,2,3,1,1,117,2,0,0,0,2,2
09363230550000,2021,206,1926,2376,4375,4,7,3,1,0,2,2,6,2,3,2,2,3,1,3,1,3,2,2,3,1,1,98,2,0,0,1,1,2
13253230040000,2016,203,1969,1040,3150,2,5,1,0,0,1,2,6,0,3,2,2,3,1,3,2,2,1,2,3,1,1,46,2,0,0,0,2,2
10254170360000,2016,205,1948,1775,4340,4,7,2,1,2,2,2,6,2,3,2,2,7,0,3,1,2,1,2,1,1,1,67,2,0,0,0,1,2
13362270230000,2021,205,1893,1476,2750,4,6,3,1,0,2,2,6,2,3,2,2,3,1,1,1,3,2,3,1,1,1,131,2,0,1,1,1,2
17032010190000,2018,211,1887,3299,1204,8,11,3,0,2,3,2,2,2,3,2,2,7,0,3,1,2,2,2,1,6,2,131,2,0,0,0,1,2
14321260280000,2015,211,1878,2850,3125,6,15,3,0,0,3,2,2,0,3,2,2,7,0,3,1,2,2,2,3,2,2,137,2,0,0,1,2,2
17032010190000,2020,211,1888,3299,1204,8,11,3,0,2,3,2,2,2,3,2,2,7,0,3,1,2,2,2,1,6,2,131,2,0,0,0,1,2
13253160160000,2015,202,1901,706,3150,2,5,1,0,0,1,2,6,2,3,2,2,3,1,1,1,2,2,2,3,1,1,114,2,0,0,1,2,2
09363230550000,2018,203,1923,1200,4375,3,5,1,1,0,1,2,6,2,3,2,2,7,0,3,1,3,2,2,3,1,1,95,2,0,0,1,2,2
09254040180000,2019,203,1955,1571,3750,3,6,1,0,0,5,2,6,2,1,2,2,7,0,1,1,2,1,2,3,1,1,63,2,0,0,0,1,2
10253190450000,2020,204,1951,2469,11160,3,8,2,1,1,1,2,6,0,3,1,2,3,2,3,3,2,1,2,3,1,1,67,2,0,0,0,1,2
09361030150000,2020,203,1928,1357,5280,2,6,1,1,0,1,2,6,2,3,2,2,1,1,3,1,2,2,2,3,1,1,90,3,0,0,0,2,2
13362270230000,2018,202,1890,756,2750,2,4,1,1,0,1,2,6,0,3,2,2,3,1,1,1,3,2,3,1,1,1,128,2,0,0,1,2,2
10253190450000,2015,204,1951,2469,11160,3,8,2,1,1,1,2,6,0,3,1,2,3,2,3,3,2,1,2,3,1,1,64,2,0,0,0,1,2
13253230040000,2018,203,1969,1040,3150,2,5,1,0,0,1,2,6,2,3,2,2,3,1,3,1,2,1,2,3,1,1,49,2,0,0,0,2,2
10253190450000,2016,204,1951,2469,11160,3,8,2,1,1,1,2,6,0,3,1,2,3,2,3,3,2,1,2,3,1,1,64,2,0,0,0,1,2
14321260280000,2019,211,1878,2850,3125,4,9,3,0,0,3,2,2,2,3,2,2,7,0,3,3,2,1,2,1,2,2,140,2,0,0,0,2,2
13253160160000,2016,202,1901,706,3150,2,5,1,0,0,1,2,6,2,3,2,2,3,1,1,1,2,2,2,3,1,1,114,2,0,0,0,2,2
09363230550000,2020,203,1923,1200,4375,3,5,1,1,0,1,2,6,2,3,2,2,7,0,3,1,3,2,2,3,1,1,95,2,0,0,1,2,2
10254170360000,2019,205,1948,1829,4340,3,7,2,1,2,2,2,6,2,3,2,2,3,1,3,1,2,1,2,1,1,1,70,2,0,0,0,1,2
13253230040000,2020,203,1969,1040,3150,2,5,1,0,0,1,2,6,2,3,2,2,7,0,3,1,2,1,2,3,1,1,49,2,0,0,0,2,2
10254170360000,2020,205,1948,1829,4340,3,7,2,1,2,2,2,6,2,3,2,2,3,1,3,1,2,1,2,1,1,1,70,2,0,0,0,1,2
09254040180000,2021,203,1958,1568,3750,3,8,3,0,0,6,2,6,2,1,2,2,3,1,1,1,2,1,2,1,1,1,66,2,0,0,0,1,2
14321260280000,2020,211,1878,2850,3125,4,9,3,0,0,3,2,2,2,3,2,2,7,0,3,3,2,1,2,1,2,2,140,2,0,0,0,2,2
14321260280000,2017,211,1878,2850,3125,4,9,3,0,0,3,2,2,2,3,2,2,7,0,3,3,2,1,2,1,2,2,137,2,0,0,0,2,2
